,Segments,Type,YEAR,Total exports million USD,Main exports destiny,Value exports main partner,Partner share (%),Total Imports million U$S,Main imports origin,Value imports main partner,COUNTRY,DESCRIPTION,VALUE,PARTNER,SOURCE
211,,,2020.0,,,,,,,,China,"Global exports masks, gloves and protective garments %",0.46,,Medical Industries in Africa - A regional response to supply shortages
212,,,2020.0,,,,,,,,Africa continent,Hydrogen medications imports (USD million),340.0,,Medical Industries in Africa - A regional response to supply shortages
213,,,2020.0,,,,,,,,Africa continent,Test Kits imports (USD million),150.0,,Medical Industries in Africa - A regional response to supply shortages
214,,,2020.0,,,,,,,,Africa continent,Urine bags imports (USD million),98.0,,Medical Industries in Africa - A regional response to supply shortages
215,,,2020.0,,,,,,,,Africa continent,African imports of personal protective equipment subjected to trade measures %,0.76,,Medical Industries in Africa - A regional response to supply shortages
216,,,2020.0,,,,,,,,Africa continent,African imports of other medical supplies were subject to temporary trade measures %,0.72,,Medical Industries in Africa - A regional response to supply shortages
217,,,2020.0,,,,,,,,Africa continent,African imports on textile facing trade restrictions %,0.96,,Medical Industries in Africa - A regional response to supply shortages
218,,,2020.0,,,,,,,,Africa continent,African imports on filtered masks facing trade restrictions %,0.9,,Medical Industries in Africa - A regional response to supply shortages
219,,,2020.0,,,,,,,,Africa continent,African medical/surgical equipment (USD billion),1.9,,Medical Industries in Africa - A regional response to supply shortages
220,,,2020.0,,,,,,,,Africa continent,African disinfectants and sterilizers imports (USD billion),9.4,,Medical Industries in Africa - A regional response to supply shortages
221,,,2020.0,,,,,,,,Africa continent,African medical consumables imports (USD billion),3.4,,Medical Industries in Africa - A regional response to supply shortages
222,,,2020.0,,,,,,,,Africa continent,African Test Kits imports (USD billion),2.5,,Medical Industries in Africa - A regional response to supply shortages
223,,,2020.0,,,,,,,,Africa continent,African other medical products imports (USD billion),1.6,,Medical Industries in Africa - A regional response to supply shortages
224,,,2020.0,,,,,,,,Africa continent,African PPE imports (USD billion),0.8,,Medical Industries in Africa - A regional response to supply shortages
225,,,2020.0,,,,,,,,Africa continent,African oxygen therapy equipment (USD billion),0.2,,Medical Industries in Africa - A regional response to supply shortages
226,,,2020.0,,,,,,,,world top five exporters,African personal protective equipment imports %,0.71,,Medical Industries in Africa - A regional response to supply shortages
227,,,2020.0,,,,,,,,world top five exporters,African disinfectants and sterilizers imports %,0.66,,Medical Industries in Africa - A regional response to supply shortages
228,,,2020.0,,,,,,,,world top five exporters,African other medical products imports %,0.48,,Medical Industries in Africa - A regional response to supply shortages
